,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
0,152.39870445189433,-81.14753860397198,0.0,bluff,9.13,65.56,89.0,80.0
1,24.767721397130828,-69.04296469616474,1.0,bredasdorp,17.22,75.2,44.0,0.0
2,-100.17748447147187,-0.22937220574500827,2.0,puerto ayora,5.82,80.6,74.0,20.0
3,41.72350649327987,46.03241046212497,3.0,pregradnoye,5.77,57.64,63.0,0.0
4,-95.54134387414292,83.5639894270688,4.0,qaanaaq,5.32,9.4,100.0,68.0
5,-102.61050972775924,7.633811473263165,5.0,acapulco,3.76,80.6,69.0,5.0
6,0.6947864813041917,-2.3900540580369523,6.0,takoradi,9.91,82.21,89.0,0.0
8,-14.055471810106582,-47.817461272129165,8.0,jamestown,6.78,61.42,52.0,12.0
9,179.03369842783297,21.64842054125117,9.0,butaritari,13.33,83.11,100.0,88.0
11,-40.707733823376884,74.27213535945691,11.0,tasiilaq,3.36,33.8,80.0,75.0
12,83.80203958986607,-73.4343654621336,12.0,busselton,16.4,67.18,100.0,88.0
13,140.5998800384828,-1.8118427624938391,13.0,vanimo,15.17,84.19,100.0,20.0
14,136.631567588378,68.5061579989893,14.0,ust-kuyga,3.53,13.99,90.0,24.0
16,-75.9375663003447,54.01382208856876,16.0,chapais,10.29,30.2,63.0,1.0
17,96.21057377923546,15.350858974099992,17.0,pyapon,10.58,84.37,68.0,0.0
18,-71.69644930343992,-23.38460147594644,18.0,antofagasta,6.93,64.4,72.0,75.0
19,-80.14700853278651,17.20231001442366,19.0,lucea,11.41,82.4,74.0,40.0
20,-132.35075608048965,-16.27483779694714,20.0,rikitea,9.53,76.54,100.0,64.0
22,-70.87250060210755,59.702740060554504,22.0,iqaluit,16.11,23.0,67.0,20.0
24,-6.72217823978005,20.246211621568676,24.0,araouane,4.61,102.55,14.0,0.0
25,-138.2977834238548,65.29238016056374,25.0,mayo,8.05,28.4,63.0,20.0
26,96.47721579074823,18.682835126410637,26.0,pyu,4.54,85.27,43.0,44.0
27,152.26918420561668,13.448927338929323,27.0,kavieng,7.78,83.29,100.0,80.0
28,125.38385360354374,56.54514370904673,28.0,chulman,3.31,20.56,71.0,56.0
32,103.7016529673844,-78.08557241831373,32.0,albany,9.17,43.86,42.0,20.0
33,-62.043940098665416,-15.242664113152046,33.0,urubicha,2.98,87.07,67.0,20.0
34,31.658858029432594,84.79668176240713,34.0,berlevag,5.82,26.6,68.0,0.0
36,158.67094303717863,-38.601169440115605,36.0,kiama,4.7,55.4,100.0,40.0
37,170.16819340254477,-43.06129218226719,37.0,hokitika,15.57,54.22,97.0,0.0
39,-91.84267213592992,55.75644292802923,39.0,sioux lookout,3.36,43.84,48.0,40.0
40,-20.64903040562797,-10.852160742756013,40.0,georgetown,9.17,82.4,78.0,75.0
42,-158.13222118474343,69.2557817529514,42.0,barrow,5.61,76.27,76.0,0.0
43,-106.58013244269053,26.411044454059052,43.0,guadalupe y calvo,2.08,60.07,32.0,24.0
44,-170.46811341568542,-80.06935901071117,44.0,vaini,4.09,83.74,41.0,32.0
45,74.25535035378499,-15.310174029418832,45.0,hithadhoo,16.28,84.46,100.0,64.0
46,80.02849514698562,28.937840789147927,46.0,khatima,5.5,72.31,48.0,0.0
48,-34.51885025564829,11.303301892549285,48.0,sao filipe,13.78,71.32,94.0,0.0
49,-83.95451157872222,18.512152752324866,49.0,west bay,10.29,66.9,63.0,20.0
50,-42.46343679895264,3.248492371086641,50.0,cururupu,8.3,86.98,75.0,36.0
51,-177.18905466378126,35.36658964838125,51.0,kapaa,13.87,68.54,83.0,40.0
52,48.63355471782094,47.46891459505852,52.0,aksarayskiy,17.9,59.0,48.0,75.0
53,-48.437991881704335,-69.7582293862427,53.0,ushuaia,5.82,43.79,60.0,40.0
55,82.52794981098185,34.8253199355341,55.0,leh,0.29,7.24,73.0,48.0
56,-113.77453951619896,43.40642001427662,56.0,hailey,10.29,37.4,59.0,5.0
60,-93.65861853378226,50.580790489692134,60.0,kenora,5.82,39.81,65.0,20.0
63,-24.110371338549186,16.02892695862836,63.0,ribeira brava,19.46,66.2,68.0,40.0
64,103.71856597351729,16.90195940477396,64.0,khao wong,3.36,84.2,70.0,20.0
65,116.02188147268987,-17.131175854213765,65.0,karratha,4.83,72.49,67.0,0.0
67,40.1374312523194,73.1212302277084,67.0,ostrovnoy,3.71,21.28,93.0,0.0
68,21.667583261600754,60.481213162899024,68.0,naantali,19.46,50.0,53.0,64.0
69,69.94238305550152,9.380266484030756,69.0,kavaratti,4.99,87.07,100.0,24.0
70,-38.93058156270527,-55.37506465501467,70.0,mar del plata,19.86,61.69,47.0,68.0
72,-144.90824919228177,-65.29406417776822,72.0,mataura,13.94,46.21,76.0,92.0
74,-12.658624403864252,-63.05253205155741,74.0,cape town,13.87,71.6,43.0,0.0
75,173.7763143853282,35.661165082256076,75.0,nikolskoye,22.37,41.0,86.0,90.0
77,-70.52902662177165,30.031004077835604,77.0,hamilton,11.41,66.2,52.0,40.0
79,-64.2291541637012,45.675764559227844,79.0,amherst,12.75,39.2,55.0,40.0
80,70.19673515062453,57.01601054140497,80.0,vikulovo,25.12,61.87,63.0,48.0
81,117.28707304509703,22.518159796869554,81.0,haimen,13.94,67.54,79.0,12.0
82,46.05858393311499,-17.538335651983033,82.0,fenoarivo,10.29,75.2,60.0,40.0
85,-132.2919803895261,26.572781855156975,85.0,lompoc,8.05,46.74,100.0,0.0
87,91.54208675586375,81.35566085662401,87.0,talnakh,8.75,14.89,85.0,64.0
88,146.13364650744143,-60.54766560074401,88.0,hobart,1.86,51.8,93.0,0.0
89,145.98105261776612,46.38732467259459,89.0,kurilsk,15.95,35.59,96.0,32.0
91,-69.36010894842283,37.895861482280026,91.0,nantucket,14.99,47.48,52.0,1.0
92,-168.41815360926765,51.316131143616246,92.0,bethel,4.7,30.2,92.0,90.0
93,-7.450629804934238,57.52150655017627,93.0,portree,17.4,50.89,79.0,76.0
95,85.64647415935053,-35.541537386611836,95.0,geraldton,3.38,42.8,33.0,5.0
96,115.35386634780832,-13.199905270955938,96.0,denpasar,0.81,73.66,100.0,44.0
98,-68.48257325156958,70.22716949030658,98.0,clyde river,6.62,10.4,66.0,1.0
100,123.21217128935984,63.71309112664511,100.0,kysyl-syr,2.98,21.73,73.0,68.0
101,-134.20496478572593,49.502067300141306,101.0,prince rupert,9.17,42.8,81.0,90.0
102,18.173073923035247,46.18654925100881,102.0,komlo,3.36,73.4,25.0,0.0
103,110.787885609525,-25.416141917488403,103.0,carnarvon,10.42,74.11,24.0,0.0
104,45.79303954371494,-19.162994985216812,104.0,tsiroanomandidy,2.26,67.18,87.0,48.0
105,-102.72687328390266,-45.7448712663787,105.0,castro,10.31,54.22,93.0,92.0
106,21.362963422271207,87.67641696617937,106.0,longyearbyen,13.87,26.6,79.0,90.0
114,112.56818402954639,88.92434831054277,114.0,saskylakh,10.25,9.13,70.0,0.0
115,63.37799885250996,-28.68381107489496,115.0,mahebourg,12.75,80.6,74.0,75.0
117,-2.623639340587715,-36.34886193478268,117.0,luderitz,8.79,64.93,86.0,0.0
119,135.72700952455023,39.4609073961297,119.0,wajima,6.33,56.11,83.0,0.0
122,173.029841772012,-46.643667545041396,122.0,waitati,17.69,43.51,75.0,8.0
123,-116.92716343190943,59.87970467433854,123.0,high level,4.7,39.2,60.0,90.0
124,-76.2516453952483,-4.173232293721853,124.0,barranca,2.53,64.21,99.0,64.0
125,42.15868974412882,8.042837957516781,125.0,harer,3.53,42.34,49.0,0.0
